jao_substation,matched_osm_name,osm_id,latitude,longitude
ELANCOURT,Poste électrique d’Élancourt,318195497,48.7744372,1.9512083
ENCO-DE-BOTTE,Poste électrique d'Enco-de-Botte,118213015,43.3208821,5.4808773
ENVAL,Poste électrique d'Enval,136416550,45.7653335,2.9994195
FALLOU,Poste électrique de Fallou,62233233,48.9379652,2.2612401
FAMARS,Poste électrique de Famars,129624451,50.31166,3.5056762
FEROUGE,Ferouge,139098414,44.9155401,1.4665444
FEUILLANE,Poste électrique de la Feuillane,104481448,43.4548322,4.9061082
FLANDRE,Poste électrique de Flandre,64040271,48.8896558,2.3768255
FLEAC,Poste électrique de Fléac,105652436,45.6992905,0.0880062
FLERS,Poste électrique de Flers,111816982,48.73689,-0.5517728
FLEYRIAT,Poste électrique de Fleyriat,122752897,46.2324917,5.2098339
FLOIRAC,Poste électrique de Floirac,111449797,44.8208779,-0.5239962
