NE_name,EIC_Code,TSO,Substation_1,Substation_2,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment,Substation_1_lat,Substation_1_lon,Substation_1_id,Substation_2_lat,Substation_2_lon,Substation_2_id
Lüdershagen - Bentwisch 318,11TD8L318------R,50HERTZ,Lüdershagen,Bentwisch,220,,,,,,,1200, ,,4.69,19.4,247.338,65.35,,54.2856034,13.0779783,29389718.0,54.0999746,12.2136397,32063539.0
Lüdershagen - Güstrow 317-276,11TD8L317-276--N,50HERTZ,Lüdershagen,Güstrow,220,,,,,,,1200, ,,6.59,31.38,404.449,106.54,,54.2856034,13.0779783,29389718.0,53.8164841,12.1881266,32062544.0
Marke - Lauchstädt 504,11TD8L504------B,50HERTZ,Marke,Lauchstädt,380,,,,,,,2040, ,,2.1,12.73,230.153,50.87,,51.741528,12.2629207,25526912.0,51.4063614,11.8947029,29713902.0
Marzahn - Wuhlheide 301,11TD8L301------I,50HERTZ,Marzahn,Wuhlheide,220,,,,,,,1070, ,,0.55,2.49,37.071,9.11,,52.5358154,13.5241298,22973070.0,52.4737262,13.5063407,22973052.0
Marzahn - Wuhlheide(Abzweig) 302/1,11TD8L302------A,50HERTZ,Marzahn,Wuhlheide (Abzweig),220,,,,,,,960, ,,0.55,2.48,37.071,9.11,,52.5358154,13.5241298,22973070.0,,,
Neuenhagen - Malchow 520,11TD8L520------P,50HERTZ,Neuenhagen,Malchow,380,,,,,,,2040, ,,0.57,6.21,101.128,23.99,,52.5391386,13.7097134,137197826.0,52.5897748,13.4938727,20562114.0
Neuenhagen - Marzahn 495,11TD8L495------6,50HERTZ,Neuenhagen,Marzahn,380,,,,,,,2280, ,,0.76,4.31,71.942,16.94,,52.5391386,13.7097134,137197826.0,52.5358154,13.5241298,22973070.0
Neuenhagen - Marzahn 496,11TD8L496------Z,50HERTZ,Neuenhagen,Marzahn,380,,,,,,,2400, ,,0.76,4.31,71.942,16.94,,52.5391386,13.7097134,137197826.0,52.5358154,13.5241298,22973070.0
Parchim/Süd - Güstrow 328,11TD8L328------I,50HERTZ,Parchim/Süd,Güstrow,220,,,,,,,900, ,,15.5,57.56,196.224,52.32,,,,,53.8164841,12.1881266,32062544.0
Parchim/Süd - Wolmirstedt 332-322,11TD8L332-322--6,50HERTZ,Parchim/Süd,Wolmirstedt,220,,,,,,,900, ,,9.63,40.6,582.137,141.51,,,,,52.2689842,11.6386899,26472665.0
